timestamp,sxr_flux,hxr_flux
2026-06-30 12:29:00+00:00,3.1572806165058864e-06,1.6408573344506294e-07
2026-06-30 12:30:00+00:00,3.5451053008728195e-06,2.0267465572487708e-07
2026-06-30 12:31:00+00:00,3.902906883013202e-06,2.3238062851760333e-07
2026-06-30 12:32:00+00:00,4.216356956021627e-06,2.508706984372111e-07
2026-06-30 12:33:00+00:00,4.3087993617518805e-06,2.481396563780436e-07
2026-06-30 12:34:00+00:00,4.371096110844519e-06,2.414343214240944e-07
2026-06-30 12:35:00+00:00,4.2456072151253466e-06,2.2313828651476797e-07
2026-06-30 12:36:00+00:00,4.1771804717427585e-06,2.103951004528426e-07
2026-06-30 12:37:00+00:00,4.153962436248548e-06,2.0782456999768328e-07
2026-06-30 12:38:00+00:00,4.1817161218205e-06,2.1360440882745024e-07
2026-06-30 12:39:00+00:00,4.2302672227378935e-06,2.2034133451143134e-07
2026-06-30 12:40:00+00:00,4.277377229300328e-06,2.237995886389399e-07
2026-06-30 12:41:00+00:00,4.465711299417308e-06,2.439202830828435e-07
2026-06-30 12:42:00+00:00,6.028687494108453e-06,5.272948442325287e-07
2026-06-30 12:43:00+00:00,9.82103210844798e-06,1.2866676115663722e-06
2026-06-30 12:44:00+00:00,1.508323384769028e-05,2.2850824734632624e-06
2026-06-30 12:45:00+00:00,2.0434574253158644e-05,3.470688625384355e-06
2026-06-30 12:46:00+00:00,2.842270623659715e-05,5.383560619520722e-06
2026-06-30 12:47:00+00:00,3.618289338191971e-05,7.090763574524317e-06
2026-06-30 12:48:00+00:00,4.3717176595237106e-05,8.579274435760453e-06
2026-06-30 12:49:00+00:00,5.0082111556548625e-05,9.362574928672984e-06
2026-06-30 12:50:00+00:00,5.3035149903735146e-05,9.065441190614365e-06
2026-06-30 12:51:00+00:00,5.345628596842289e-05,8.593172424298245e-06
2026-06-30 12:52:00+00:00,5.272229827824049e-05,8.070112926361617e-06
2026-06-30 12:53:00+00:00,5.3545492846751586e-05,8.172329216904473e-06
2026-06-30 12:54:00+00:00,5.44178910786286e-05,8.178204552677926e-06
2026-06-30 12:55:00+00:00,5.460737884277478e-05,7.791235475451685e-06
2026-06-30 12:56:00+00:00,5.571348810917698e-05,7.756237209832761e-06
2026-06-30 12:57:00+00:00,5.879844684386626e-05,8.182384590327274e-06
2026-06-30 12:58:00+00:00,5.7402809034101665e-05,7.28204895494855e-06
2026-06-30 12:59:00+00:00,5.449783930089325e-05,6.451972694776487e-06
2026-06-30 13:00:00+00:00,5.3118110372452065e-05,6.141866379039129e-06
2026-06-30 13:01:00+00:00,5.25505565747153e-05,5.987905296933604e-06
2026-06-30 13:02:00+00:00,5.111440259497613e-05,5.660369424731471e-06
2026-06-30 13:03:00+00:00,4.9830428906716406e-05,5.406520358519629e-06
2026-06-30 13:04:00+00:00,4.9357440730091184e-05,5.2971363402321e-06
2026-06-30 13:05:00+00:00,4.941613951814361e-05,5.238539870333625e-06
2026-06-30 13:06:00+00:00,4.863581125391647e-05,5.047868398833089e-06
2026-06-30 13:07:00+00:00,4.766514030052349e-05,4.899785380985122e-06
2026-06-30 13:08:00+00:00,4.666793756769039e-05,4.717904175777221e-06
2026-06-30 13:09:00+00:00,4.569494922179729e-05,4.526616066868883e-06
2026-06-30 13:10:00+00:00,4.494556924328208e-05,4.354990323918173e-06
2026-06-30 13:11:00+00:00,4.412804264575243e-05,4.192615961073898e-06
2026-06-30 13:12:00+00:00,4.329355579102412e-05,4.038316546939313e-06
2026-06-30 13:13:00+00:00,4.23633937316481e-05,3.859618573187618e-06
2026-06-30 13:14:00+00:00,4.1504208638798445e-05,3.7074858028063318e-06
2026-06-30 13:15:00+00:00,4.047746551805176e-05,3.5266032227809774e-06
